type,squareMeters,floor,floorCount,centreDistance,poiCount,ownership,hasBalcony,hasElevator,price
blockOfFlats,69.07,4,5,2.43,16,condominium,yes,no,599000
tenement,43.68,2,3,4.32,9,condominium,no,no,365000
tenement,81.04,,4,4.26,1,condominium,yes,no,799000
blockOfFlats,26,3,4,2.75,5,condominium,no,no,349000
apartmentBuilding,38.5,,2,6.38,2,condominium,no,no,455000
,48.5,8,12,8.32,11,cooperative,yes,yes,515000
apartmentBuilding,31,3,4,6.14,0,condominium,yes,yes,439000
blockOfFlats,71.24,4,5,3.47,9,cooperative,yes,no,619000
,77,4,4,1.58,75,cooperative,yes,no,569000
blockOfFlats,29.8,,,3.53,8,condominium,no,yes,350000
,63.4,4,4,8.76,6,condominium,yes,no,545000
blockOfFlats,73.77,3,4,3.67,9,condominium,yes,no,599000
apartmentBuilding,59.84,,1,5.86,1,condominium,yes,no,989000
blockOfFlats,45,,1,6.76,5,condominium,no,no,399000
,65.2,1,10,3.46,11,cooperative,yes,yes,690000
apartmentBuilding,48.15,3,4,4.86,10,condominium,yes,yes,637000
blockOfFlats,42,8,10,6.04,10,cooperative,yes,yes,449000
blockOfFlats,26.68,3,4,3.3,11,condominium,no,,330000
blockOfFlats,52.92,4,4,5.23,3,condominium,yes,no,449000
,45.34,2,28,0.82,68,condominium,no,yes,750000
blockOfFlats,47.88,2,4,3.28,10,cooperative,no,no,399000
tenement,53.55,1,3,1.4,37,condominium,no,no,437000
blockOfFlats,41.73,4,4,4.38,5,condominium,yes,yes,579000
,38.1,8,10,2.71,13,condominium,no,yes,435000
blockOfFlats,36.71,6,10,0.73,59,condominium,yes,yes,459000
,47.55,7,10,1.59,35,cooperative,no,no,495000
,65.6,6,8,7.54,0,cooperative,yes,yes,495000
tenement,100.52,3,3,0.85,64,condominium,yes,no,699000
apartmentBuilding,57.07,9,18,3.53,16,condominium,yes,yes,650000
blockOfFlats,32,4,10,3.96,4,condominium,yes,yes,449000
blockOfFlats,46.73,4,11,3.7,6,condominium,no,yes,449000
blockOfFlats,47.1,,4,4.14,3,condominium,no,,450000
blockOfFlats,70.18,2,4,0.92,11,condominium,yes,yes,769000
blockOfFlats,62.4,3,4,4.31,8,cooperative,yes,no,485000
blockOfFlats,80.3,4,4,5.07,7,cooperative,no,,835000
,59.7,4,8,3.88,9,cooperative,yes,yes,565000
,100,4,5,3.34,12,condominium,no,no,575000
apartmentBuilding,28.2,5,6,1.35,19,condominium,no,yes,440000
,48.08,1,1,5.9,0,condominium,no,,390000
apartmentBuilding,90.44,8,8,4.04,5,condominium,yes,yes,1200000
blockOfFlats,37,6,10,0.8,66,cooperative,yes,yes,459000
tenement,80.73,,3,2.98,10,condominium,no,no,799000
,88,3,3,4.46,5,cooperative,yes,no,820000
tenement,77.71,3,3,1.19,9,condominium,no,no,599000
apartmentBuilding,105,3,4,4.9,5,condominium,yes,yes,1199999
apartmentBuilding,45.3,,4,4.04,7,condominium,no,yes,530000
,42,2,4,5.71,13,cooperative,yes,no,449000
blockOfFlats,52.7,1,4,5.78,12,cooperative,yes,no,450000
apartmentBuilding,69.9,,2,8.1,23,condominium,yes,no,899000
blockOfFlats,60,3,4,0.54,67,condominium,yes,no,590000
blockOfFlats,49.44,,4,3.68,8,cooperative,yes,no,425000
blockOfFlats,55.13,3,4,3.53,8,condominium,yes,no,479000
blockOfFlats,109,4,4,1.43,9,condominium,yes,yes,1199000
blockOfFlats,66.82,4,10,7.93,18,condominium,yes,yes,529000
blockOfFlats,52.97,4,4,3.76,6,cooperative,yes,no,450000
tenement,96,3,3,1.9,29,condominium,yes,no,665000
blockOfFlats,76.7,7,10,8.43,12,condominium,yes,yes,569000
,36.35,,4,1.04,47,condominium,no,yes,385000
blockOfFlats,37.34,10,11,3.05,17,condominium,yes,yes,419000
blockOfFlats,44.9,4,4,3.19,12,condominium,no,no,525000
tenement,37.14,2,4,1.04,47,condominium,no,no,439000
,93.35,,2,6.3,1,condominium,no,yes,1150000
blockOfFlats,67.3,,4,3.36,9,condominium,yes,no,579000
tenement,75.43,3,3,2.84,10,condominium,no,no,595000
tenement,40.14,3,4,1.55,80,condominium,no,no,350000
blockOfFlats,75,2,2,6.17,2,condominium,yes,no,750000
blockOfFlats,42.42,2,10,2.06,14,condominium,yes,yes,559000
,47.1,,4,3.38,12,condominium,no,no,450000
,63,5,5,1.55,0,cooperative,no,no,499000
,72,10,11,3.74,8,cooperative,yes,yes,680000
,38,10,12,3.15,16,condominium,yes,yes,389000
,58.68,2,4,2.9,3,condominium,yes,yes,796000
apartmentBuilding,48,2,3,6.18,0,condominium,yes,no,565000
tenement,55.8,3,4,1.58,43,condominium,no,,449000
blockOfFlats,55.1,2,2,6.49,2,condominium,yes,no,669000
,78.7,1,1,6.15,4,condominium,yes,no,719000
apartmentBuilding,44,,2,7.68,1,condominium,yes,yes,391000
tenement,44.88,3,4,1.68,16,condominium,no,no,439000
blockOfFlats,47.55,10,11,1.33,36,condominium,no,yes,424000
blockOfFlats,47.1,4,4,3.64,4,condominium,no,no,459000
blockOfFlats,41,1,4,0.36,74,condominium,yes,no,399000
,58.8,,1,3.98,10,condominium,no,no,499000
blockOfFlats,64,4,4,4.86,7,condominium,yes,no,595000
blockOfFlats,35,1,4,1.04,47,cooperative,yes,no,415000
blockOfFlats,26.5,3,11,2.17,10,cooperative,yes,yes,359000
tenement,39.94,2,3,2.78,16,condominium,no,no,419000
,47.9,1,2,5.86,1,condominium,yes,yes,580000
,113.08,3,3,2.08,8,condominium,no,no,585000
tenement,68.1,4,4,1.3,13,condominium,no,no,460000
tenement,71.84,4,4,1.58,68,condominium,no,,599000
blockOfFlats,71.48,3,3,1.98,20,condominium,no,no,399000
blockOfFlats,53,2,4,6.97,10,cooperative,yes,no,550000
blockOfFlats,64,11,12,6.53,9,cooperative,no,yes,510000
blockOfFlats,93.5,4,5,2.6,14,cooperative,yes,no,599000
apartmentBuilding,88.22,1,2,4.31,9,condominium,yes,no,950000
blockOfFlats,37,10,11,2.52,15,cooperative,yes,yes,315000
apartmentBuilding,46.1,2,3,1.79,11,condominium,yes,no,629000
blockOfFlats,45,1,4,5.86,1,condominium,yes,no,519000
blockOfFlats,46.8,2,4,2.23,8,condominium,no,no,499000
,47.2,,4,3.39,10,cooperative,no,no,399000
,30.7,4,5,1.55,80,cooperative,yes,no,329000
blockOfFlats,90,,2,0.79,67,condominium,yes,no,525000
blockOfFlats,44,1,4,1.59,76,condominium,no,yes,339000
,48.81,12,12,0.93,63,condominium,no,yes,805000
,48.76,12,12,0.93,63,condominium,no,yes,804000
,69.04,1,1,5.12,9,condominium,no,no,699000
,47.86,3,3,0.87,64,condominium,no,no,335000
tenement,51,2,3,0.92,16,condominium,no,no,469000
,36.27,2,3,7.65,0,condominium,yes,no,365000
blockOfFlats,86,3,3,4.97,8,condominium,yes,no,679000
blockOfFlats,36.6,7,10,3.18,11,cooperative,no,yes,350000
,48.08,1,1,7.68,1,condominium,no,no,405000
,81.2,,,6.64,0,condominium,no,no,620000
,94.7,1,3,2.07,27,condominium,yes,no,670000
blockOfFlats,69.19,1,1,8.42,1,condominium,no,no,689000
tenement,100,4,5,3.53,8,condominium,no,no,560000
blockOfFlats,31,,9,3.64,4,condominium,no,yes,380000
apartmentBuilding,46,2,27,0.93,63,condominium,yes,no,740000
blockOfFlats,60.37,,4,3.64,4,condominium,yes,yes,899000
tenement,115,1,4,1.7,67,condominium,no,no,625000
tenement,73.74,,4,1.04,47,condominium,yes,no,567000
