type,squareMeters,floor,floorCount,centreDistance,poiCount,ownership,hasBalcony,hasElevator,price
blockOfFlats,48.44,5,10,6.4,17,cooperative,yes,yes,649000
apartmentBuilding,63.25,9,14,3.83,17,condominium,yes,yes,1250000
tenement,81,1,3,0.56,125,condominium,yes,no,1699000
blockOfFlats,28.78,,7,4.39,4,condominium,no,yes,610000
blockOfFlats,49,1,4,3.17,11,condominium,yes,no,749000
blockOfFlats,43.97,,5,5.02,10,condominium,no,yes,820000
blockOfFlats,67.2,10,11,4.11,23,condominium,yes,yes,870000
tenement,56.85,3,4,0.36,94,condominium,no,yes,1591800
tenement,28.45,1,4,0.36,94,condominium,no,yes,768150
tenement,56.59,1,4,0.36,94,condominium,yes,yes,1527930
blockOfFlats,42,1,3,4.82,7,condominium,yes,yes,789000
blockOfFlats,32,4,5,7.34,28,condominium,yes,yes,599000
blockOfFlats,43,5,5,7.34,28,condominium,yes,yes,950000
apartmentBuilding,57.32,2,5,1.46,48,condominium,yes,yes,1576300
blockOfFlats,54.5,3,3,6.8,15,condominium,yes,no,639000
blockOfFlats,48.2,5,5,2.73,13,condominium,yes,no,750000
blockOfFlats,52,3,10,3.38,19,cooperative,no,yes,860000
blockOfFlats,62.2,3,4,4.99,13,condominium,yes,no,890000
blockOfFlats,72,1,1,7.23,0,condominium,no,no,890000
blockOfFlats,36.97,3,4,3.42,12,condominium,no,no,536000
blockOfFlats,66.4,2,4,0.67,151,condominium,no,,1650000
,36,3,4,4.06,10,condominium,no,,565000
blockOfFlats,29,1,3,4.94,8,condominium,yes,no,530000
blockOfFlats,52.25,3,4,4.73,9,condominium,yes,no,784000
,50.2,,2,4.35,19,condominium,no,no,770000
blockOfFlats,30,3,3,1.91,29,condominium,no,no,540000
blockOfFlats,52,1,3,6.13,7,condominium,yes,no,820000
blockOfFlats,94,3,4,1.14,94,condominium,yes,no,1199200
blockOfFlats,38.26,,3,8.4,0,condominium,yes,yes,599000
blockOfFlats,42.3,3,3,3.84,19,condominium,yes,no,719100
blockOfFlats,33,4,4,1.82,28,condominium,no,no,478500
blockOfFlats,35.22,4,4,1.82,28,condominium,no,no,510690
blockOfFlats,68.11,,3,3.89,2,condominium,no,yes,899052
,122.41,,,8.97,0,condominium,no,,1600000
apartmentBuilding,94.5,1,7,1.67,13,condominium,yes,yes,2300000
,87,3,4,1.12,42,condominium,yes,no,1849000
blockOfFlats,35,,5,6.35,13,condominium,yes,yes,595000
blockOfFlats,89,2,10,4.09,2,condominium,yes,yes,1299000
blockOfFlats,33,,4,7.34,28,condominium,no,,595000
blockOfFlats,61,1,4,3.94,10,condominium,no,no,995000
tenement,35.94,2,3,7.22,22,condominium,no,no,500000
blockOfFlats,36.82,4,4,1.82,28,condominium,no,no,533890
apartmentBuilding,61,1,2,5.83,1,condominium,yes,no,793000
tenement,45.35,,3,2.09,4,condominium,yes,no,849000
blockOfFlats,50,1,4,1.14,94,condominium,yes,no,655000
blockOfFlats,57.17,2,2,9.5,0,condominium,yes,no,828000
blockOfFlats,85.48,4,6,0.88,194,condominium,no,yes,1630000
apartmentBuilding,85.48,4,6,3.78,4,condominium,yes,yes,1630000
blockOfFlats,38,,4,4.91,7,condominium,yes,no,620000
,37.9,1,5,3.64,1,condominium,yes,yes,754210
,43.06,3,5,3.64,1,condominium,yes,yes,813834
,32.87,,5,3.64,1,condominium,yes,yes,686983
tenement,50,1,2,1.51,44,condominium,no,no,940000
,66,5,6,2.34,12,condominium,yes,yes,1313400
blockOfFlats,37.81,2,4,7.15,23,condominium,no,no,510000
blockOfFlats,33.31,2,4,2.68,23,condominium,yes,no,650000
apartmentBuilding,42,2,3,2.41,12,condominium,yes,no,800000
blockOfFlats,47,1,5,5.25,3,condominium,yes,yes,749000
blockOfFlats,96.91,1,2,5.6,1,condominium,yes,no,1150000
blockOfFlats,38,3,4,4.36,16,condominium,no,yes,649000
blockOfFlats,36,,2,1.94,3,condominium,no,no,520000
blockOfFlats,36.53,4,4,6.72,23,condominium,no,no,500000
blockOfFlats,57,2,4,7.29,16,condominium,yes,no,799000
blockOfFlats,50,9,10,5.76,16,condominium,yes,yes,765000
tenement,64,1,4,2.03,21,condominium,yes,yes,1290000
tenement,59,3,3,1.03,185,condominium,no,no,1589000
blockOfFlats,62.22,3,4,5.28,11,condominium,yes,no,890000
tenement,36,,2,1.9,4,condominium,no,no,520000
blockOfFlats,38,3,10,1.81,16,condominium,yes,yes,705000
apartmentBuilding,61.06,1,5,1.19,25,condominium,yes,yes,1370000
blockOfFlats,25.5,4,4,6.8,26,cooperative,no,no,489000
blockOfFlats,68,,3,7.81,23,condominium,no,no,775000
apartmentBuilding,101.52,1,4,3.57,3,condominium,yes,yes,1842588
blockOfFlats,26.7,3,4,8.72,4,condominium,yes,yes,539000
blockOfFlats,71,,2,3.38,17,condominium,no,no,950000
blockOfFlats,56.2,,4,1.62,45,condominium,no,no,900000
blockOfFlats,57,3,4,4.24,7,condominium,yes,no,699000
blockOfFlats,47,2,4,7.63,12,condominium,yes,no,720000
tenement,33,2,3,1.38,38,condominium,no,no,890000
apartmentBuilding,63.25,9,14,3.94,20,condominium,yes,yes,1250000
blockOfFlats,48,1,2,4.14,6,condominium,yes,no,825000
blockOfFlats,47,1,4,1.81,15,condominium,yes,no,670000
blockOfFlats,34.4,,7,3.32,13,cooperative,yes,yes,520000
blockOfFlats,69,3,10,5.65,16,cooperative,yes,yes,930000
tenement,134,2,4,0.86,101,condominium,no,yes,2390000
apartmentBuilding,96.62,1,4,3.62,3,condominium,yes,yes,2120809
blockOfFlats,77.51,2,3,5.14,3,condominium,yes,yes,1120000
blockOfFlats,51.33,2,5,3.8,6,cooperative,yes,yes,950000
blockOfFlats,51,1,2,7.62,30,condominium,no,no,630000
tenement,77.4,3,4,0.93,36,condominium,yes,yes,1799000
blockOfFlats,38,1,3,4.29,11,condominium,yes,no,585000
apartmentBuilding,70.6,3,3,4.98,6,condominium,no,no,988400
apartmentBuilding,28.46,2,6,1.79,28,condominium,no,yes,795000
blockOfFlats,45.1,3,4,4.25,12,condominium,yes,yes,748000
blockOfFlats,25.99,2,5,5.37,10,condominium,yes,yes,517201
blockOfFlats,49,3,4,7.34,28,condominium,no,no,899000
apartmentBuilding,30.16,3,7,4.95,11,condominium,yes,yes,621296
blockOfFlats,47.5,1,4,2.07,21,cooperative,no,no,749000
apartmentBuilding,48.25,4,6,3.15,5,condominium,yes,yes,865000
tenement,78.3,3,4,1.97,26,condominium,no,no,1220000
tenement,58.83,3,3,1.77,32,condominium,yes,no,970700
blockOfFlats,40,1,3,1.15,24,condominium,yes,no,732000
blockOfFlats,45,,5,0.36,94,condominium,no,yes,1285000
blockOfFlats,34,1,4,3.52,20,condominium,yes,no,580000
blockOfFlats,65,2,10,5.75,11,condominium,yes,no,709000
tenement,77.4,3,4,0.94,42,condominium,yes,yes,1799000
,145,4,4,2.09,4,condominium,no,,1650000
blockOfFlats,46,2,2,5.38,21,condominium,no,,849000
blockOfFlats,29.6,4,4,8.48,9,condominium,yes,yes,615000
,38.9,1,6,1.66,14,condominium,yes,no,1038630
blockOfFlats,29,6,6,3.83,7,condominium,yes,yes,694033
blockOfFlats,51.25,9,9,7.14,9,condominium,yes,yes,835000
blockOfFlats,64,9,14,3.83,17,condominium,yes,yes,1250000
blockOfFlats,36,3,4,8.29,21,condominium,yes,no,575000
,50.16,3,3,6.12,4,condominium,yes,yes,599000
blockOfFlats,55,11,15,5.45,24,condominium,yes,yes,930000
blockOfFlats,31.89,,5,5.89,0,condominium,no,yes,539000
blockOfFlats,33,2,10,7.03,14,condominium,yes,yes,450000
apartmentBuilding,27.37,1,7,4.41,15,condominium,yes,yes,599000
tenement,47,2,2,2.75,16,condominium,yes,no,848000
tenement,52,2,3,0.42,139,condominium,no,no,1030000
blockOfFlats,34,4,10,5.4,22,condominium,yes,yes,590000
blockOfFlats,48,7,10,2.62,30,condominium,yes,yes,995000
,44.5,1,6,1.69,14,condominium,yes,no,1188150
blockOfFlats,108.8,4,4,5.02,25,condominium,yes,no,1295000
blockOfFlats,34,,4,6.58,21,condominium,no,no,588000
,99,,4,2.62,12,cooperative,yes,no,1399000
blockOfFlats,67.5,1,3,5.79,1,condominium,yes,no,1066000
blockOfFlats,61.4,,4,5.24,22,condominium,yes,no,829000
tenement,82,1,2,0.74,194,condominium,yes,no,1722000
blockOfFlats,44,,10,4.28,8,cooperative,no,yes,620000
,45,3,10,5,11,condominium,yes,no,699000
blockOfFlats,63,1,3,5.89,0,condominium,yes,no,998000
blockOfFlats,66,3,7,7.41,19,condominium,yes,yes,899000
blockOfFlats,43.6,1,8,4.05,19,condominium,no,yes,635000
blockOfFlats,35,,4,3.69,15,condominium,yes,no,660000
apartmentBuilding,88.2,1,3,5.79,1,condominium,yes,yes,1460000
blockOfFlats,45,1,5,2.95,7,condominium,yes,yes,885000
,58,,,4.83,6,condominium,no,,789000
blockOfFlats,35.5,,4,8.09,27,condominium,no,no,639000
blockOfFlats,43.49,1,3,7.84,8,condominium,yes,yes,640000
blockOfFlats,25.37,1,4,2.47,25,condominium,no,no,485000
tenement,34.5,,4,1.08,80,condominium,no,,770000
,26.77,,3,3.38,4,condominium,no,no,420000
blockOfFlats,44.1,1,4,5.89,0,condominium,yes,yes,645000
,43,2,2,5.39,4,condominium,no,no,666500
blockOfFlats,70,1,1,5.76,3,condominium,no,yes,1239000
blockOfFlats,64,4,5,5.67,10,condominium,yes,yes,999000
blockOfFlats,47.91,,4,3.59,12,condominium,yes,no,720000
apartmentBuilding,48.32,1,3,6.25,3,condominium,yes,no,850000
blockOfFlats,47.5,5,8,7.63,10,condominium,yes,yes,740000
blockOfFlats,62,1,4,3.66,22,condominium,yes,no,850000
blockOfFlats,40.09,2,3,3.52,20,condominium,yes,yes,666536
blockOfFlats,33.99,,4,4.66,16,condominium,no,,530000
blockOfFlats,67.17,7,10,3.02,15,condominium,yes,yes,1199999
blockOfFlats,50.22,,5,3.97,10,condominium,no,yes,780000
apartmentBuilding,52,2,4,7.65,6,condominium,no,yes,820000
tenement,90.52,3,3,2.42,32,condominium,yes,no,1600000
apartmentBuilding,60,,4,3.78,17,condominium,yes,yes,1015000
blockOfFlats,30,4,10,3.93,20,condominium,yes,yes,475000
blockOfFlats,52,4,10,4.42,10,cooperative,no,yes,771224
blockOfFlats,49.77,2,3,3.95,14,condominium,yes,no,699800
,45,1,5,4.3,6,condominium,no,yes,760500
blockOfFlats,63.01,1,6,1.7,30,condominium,no,yes,1543745
blockOfFlats,54.81,2,6,1.29,20,condominium,no,yes,1200339
blockOfFlats,37.3,1,4,5.43,12,cooperative,no,no,550000
blockOfFlats,36,,4,2.22,2,condominium,no,no,520000
blockOfFlats,37,1,5,1.71,40,condominium,no,no,560000
blockOfFlats,29.15,5,5,7.01,20,condominium,no,yes,499000
blockOfFlats,51.25,9,10,7.16,15,condominium,yes,no,830000
,25.5,4,4,6.86,24,condominium,no,no,489000
,26.7,3,4,8.78,5,condominium,no,,539000
blockOfFlats,62.22,3,4,5.21,12,condominium,yes,no,870000
apartmentBuilding,60.08,2,5,1.81,30,condominium,yes,yes,999000
blockOfFlats,40,1,12,4.77,10,condominium,yes,yes,590000
,30,,1,4.86,10,condominium,yes,no,510000
,77,,5,2.63,10,condominium,yes,yes,1439000
blockOfFlats,51.25,9,9,7.46,6,condominium,yes,yes,869000
blockOfFlats,52.22,2,10,4.8,18,cooperative,yes,yes,839000
blockOfFlats,60,2,2,6.06,3,condominium,yes,no,960000
,49.87,2,3,7.82,0,condominium,yes,no,750000
tenement,57.57,2,2,2.19,18,condominium,no,,870000
tenement,101.6,2,4,1.91,29,condominium,yes,no,1790000
blockOfFlats,52.5,8,10,4.43,13,cooperative,yes,yes,707000
apartmentBuilding,46.3,2,5,5.58,11,condominium,yes,yes,849000
blockOfFlats,63.11,3,14,3.83,17,condominium,no,yes,1050000
blockOfFlats,41,2,6,3.66,2,condominium,yes,no,812000
tenement,63,4,4,0.66,73,condominium,yes,no,1150000
,67,2,2,5.01,1,condominium,yes,no,1350000
,79.2,,7,1.5,18,condominium,yes,yes,1663200
,34,,,3.62,3,condominium,yes,no,600000
tenement,31.9,,3,4.09,19,condominium,no,no,480000
blockOfFlats,46.15,4,4,4.86,5,condominium,yes,yes,849000
blockOfFlats,49.25,1,3,7.77,0,condominium,yes,no,789000
blockOfFlats,46.66,4,4,6.47,19,condominium,no,no,610000
apartmentBuilding,69,4,4,7.58,11,condominium,yes,yes,1150000
blockOfFlats,36.4,1,10,5.81,18,condominium,no,yes,450000
blockOfFlats,38.1,1,4,5.96,13,cooperative,yes,no,575000
,56,4,4,5.83,6,condominium,yes,no,894000
blockOfFlats,49,3,4,8.7,4,condominium,yes,yes,760000
blockOfFlats,63.12,2,8,7.17,12,condominium,no,yes,770064
blockOfFlats,53.61,2,4,8.7,4,condominium,yes,yes,765000
blockOfFlats,53,8,10,4.39,12,condominium,yes,yes,707000
blockOfFlats,41.93,1,8,7.17,12,condominium,no,yes,616371
blockOfFlats,34.55,2,8,7.17,12,condominium,no,yes,563165
,59.28,,4,3.8,11,condominium,yes,no,1053000
blockOfFlats,45,1,4,7.11,20,condominium,yes,no,579000
blockOfFlats,49.87,2,3,7.69,0,condominium,yes,no,750000
blockOfFlats,31.98,4,4,8.7,4,condominium,yes,yes,499000
apartmentBuilding,36.61,,5,2.32,24,condominium,no,yes,842030
apartmentBuilding,29,6,6,3.79,7,condominium,yes,no,679000
blockOfFlats,53,9,10,4.34,12,cooperative,no,yes,707000
blockOfFlats,59.75,,3,4.22,10,condominium,yes,no,868000
tenement,45.8,3,4,2.51,17,condominium,no,no,770000
blockOfFlats,101.46,4,4,4.84,5,condominium,yes,yes,1511754
blockOfFlats,37.29,2,4,3.7,18,condominium,no,no,670000
blockOfFlats,60,2,2,6.06,3,condominium,yes,no,960000
blockOfFlats,43.1,5,6,3.33,13,condominium,yes,yes,845000
blockOfFlats,41.62,1,7,4.01,0,condominium,yes,yes,715000
,47.18,1,8,5.54,7,condominium,yes,no,770000
blockOfFlats,27,,2,4.86,6,condominium,yes,no,455000
blockOfFlats,44.2,2,4,5.32,21,condominium,yes,no,745000
blockOfFlats,29,,2,7.34,28,condominium,no,no,549900
apartmentBuilding,62.62,1,3,9.38,1,condominium,yes,no,998000
blockOfFlats,51,1,4,4.39,16,condominium,yes,no,690000
apartmentBuilding,47.48,,6,1.28,53,condominium,no,yes,1150000
apartmentBuilding,91.7,1,5,5.67,11,condominium,yes,yes,1420000
,61.15,,3,4.04,10,condominium,no,no,1030000
blockOfFlats,29.63,,2,5.89,0,condominium,yes,no,510000
blockOfFlats,29.52,7,7,3.79,18,condominium,yes,yes,530700
,53.5,2,2,3.68,1,condominium,no,no,875000
blockOfFlats,45,3,10,5.11,14,condominium,yes,yes,665000
,51.34,1,3,4.75,9,condominium,yes,yes,924120
blockOfFlats,43,4,7,4.44,13,condominium,yes,yes,624000
blockOfFlats,27,3,4,9.67,9,condominium,no,,400000
blockOfFlats,62,3,3,3.61,21,cooperative,yes,no,799000
,37,4,6,5.89,0,condominium,yes,no,749900
blockOfFlats,35.43,,6,5.67,10,condominium,yes,yes,520000
blockOfFlats,61,2,4,4.37,9,cooperative,yes,no,779000
tenement,95,2,4,0.62,171,condominium,yes,no,1750000
apartmentBuilding,29,2,7,1.79,40,condominium,no,yes,795000
blockOfFlats,56,5,5,5.22,4,condominium,yes,yes,1114000
blockOfFlats,37.6,8,10,6.63,20,cooperative,no,yes,629550
tenement,31.7,3,4,2,19,condominium,yes,no,485000
blockOfFlats,35,,5,6.11,2,condominium,yes,yes,595000
apartmentBuilding,56,4,4,6.08,6,condominium,yes,yes,894000
tenement,103,2,3,1.77,32,condominium,yes,no,2450000
apartmentBuilding,65.74,,3,5.24,6,condominium,no,yes,954676
tenement,64,3,3,0.85,23,condominium,no,no,1344000
,52.42,,4,7.31,5,condominium,yes,no,849500
,26.77,,3,3.38,4,condominium,no,no,410000
blockOfFlats,27.03,3,3,7.07,17,condominium,yes,no,479000
apartmentBuilding,27,2,6,2.49,12,condominium,yes,yes,640000
blockOfFlats,50,4,4,1.5,19,condominium,yes,no,830000
,27,,2,8.19,0,condominium,no,no,650000
apartmentBuilding,66.17,4,4,3.88,7,condominium,yes,yes,1450000
blockOfFlats,68,2,4,7.49,13,condominium,yes,no,980000
blockOfFlats,32.87,,5,5.28,6,condominium,no,no,654113
blockOfFlats,55.36,1,5,3.57,5,condominium,yes,yes,990944
apartmentBuilding,29.52,1,6,3.39,9,condominium,yes,yes,530769
apartmentBuilding,73,,7,3.58,15,condominium,yes,yes,1100000
blockOfFlats,34,,12,3.02,19,condominium,no,yes,550000
apartmentBuilding,27,2,6,2.58,11,condominium,yes,no,640000
blockOfFlats,38,1,4,4.96,3,condominium,yes,yes,669000
blockOfFlats,49,3,7,7.45,19,condominium,yes,yes,699000
blockOfFlats,27,4,6,2.58,11,condominium,yes,yes,640000
blockOfFlats,32.39,3,3,4.72,5,condominium,yes,no,534500
blockOfFlats,63,3,4,5.95,21,cooperative,no,no,750000
apartmentBuilding,63.51,3,7,1.97,9,condominium,yes,yes,1389000
tenement,27,3,5,1.23,115,condominium,no,yes,649000
blockOfFlats,51.58,2,3,4.44,8,condominium,yes,no,744900
tenement,72.5,3,4,2.99,13,condominium,yes,no,1220000
,48,1,4,7.98,30,cooperative,no,no,715000
apartmentBuilding,45.1,5,5,4.53,14,condominium,yes,yes,719000
blockOfFlats,41,3,4,6.5,23,cooperative,no,,510000
blockOfFlats,58,3,3,1.41,64,condominium,no,no,950000
apartmentBuilding,50.5,2,2,2.24,19,condominium,yes,yes,1238000
apartmentBuilding,38.56,1,1,2.24,19,condominium,yes,yes,841000
,26.77,,3,3.38,4,condominium,no,no,419000
blockOfFlats,48,3,3,5.24,13,condominium,yes,no,559000
blockOfFlats,33.86,,2,1.14,94,condominium,no,no,490000
tenement,64,3,4,0.36,120,condominium,no,no,1749000
,41,,7,2.91,17,condominium,no,yes,700000
,67.49,1,1,5.79,1,condominium,yes,no,990000
tenement,150,4,5,0.72,73,condominium,yes,no,1950000
,48.91,3,6,2.53,8,condominium,yes,no,860000
blockOfFlats,63,,8,7.56,15,condominium,yes,yes,755000
apartmentBuilding,38.56,1,7,1.78,18,condominium,yes,yes,840600
tenement,103,2,3,2.14,14,condominium,yes,no,2450000
blockOfFlats,67,1,1,5.11,3,condominium,yes,no,899000
apartmentBuilding,146.69,1,2,4.51,7,condominium,yes,no,2385000
,26.8,1,3,1.14,94,cooperative,no,no,422000
blockOfFlats,85.4,3,4,1.36,15,cooperative,yes,no,1488000
blockOfFlats,52.2,3,4,4.01,17,condominium,yes,no,735000
blockOfFlats,68.3,,10,5.64,18,cooperative,yes,yes,890000
apartmentBuilding,43.5,1,1,5.38,21,condominium,yes,yes,699000
tenement,77,3,3,1.65,35,condominium,yes,no,1399700
blockOfFlats,73.33,1,4,7.13,5,condominium,yes,no,1026200
blockOfFlats,67.2,10,11,4.11,23,condominium,yes,yes,870000
blockOfFlats,33,,10,7.16,9,cooperative,yes,yes,549000
blockOfFlats,46,2,10,4.72,13,condominium,yes,yes,650000
,96,2,2,1.51,57,condominium,yes,no,1915000
apartmentBuilding,70.6,3,3,4.98,6,condominium,yes,no,988400
,25.72,,3,0.33,129,condominium,no,no,730160
blockOfFlats,35.18,3,15,2.85,17,cooperative,no,yes,660000
,58,4,4,4.91,6,condominium,no,,790000
blockOfFlats,46.99,3,6,5.57,7,cooperative,yes,yes,659000
blockOfFlats,43.6,,3,7.61,0,condominium,no,no,585000
,34,4,5,4.54,7,condominium,yes,no,537000
blockOfFlats,36,4,10,6.68,17,condominium,no,yes,486000
blockOfFlats,30.62,,3,4.94,8,condominium,yes,no,540000
blockOfFlats,58,5,7,5.79,1,condominium,no,yes,829000
blockOfFlats,58,10,11,4.35,19,condominium,yes,yes,789000
blockOfFlats,47.52,2,4,4.31,12,condominium,no,no,755000
,34,,16,3.18,13,condominium,no,yes,550000
blockOfFlats,49.5,9,11,5.36,5,condominium,yes,yes,659000
blockOfFlats,38,6,10,2.14,27,condominium,yes,yes,646000
blockOfFlats,85,3,4,1.37,19,cooperative,yes,no,1488000
blockOfFlats,32,,3,2.71,9,condominium,yes,no,565000
blockOfFlats,52,4,4,3.83,17,condominium,yes,no,800000
apartmentBuilding,72,1,2,4.66,2,condominium,yes,no,890000
blockOfFlats,55,1,4,1.19,18,condominium,yes,no,925000
blockOfFlats,51.25,9,9,7.04,14,condominium,yes,yes,860000
blockOfFlats,49.5,2,3,7.41,27,condominium,yes,no,760000
blockOfFlats,35.21,2,11,7.61,7,cooperative,yes,yes,469000
blockOfFlats,66.3,1,4,5.55,9,condominium,yes,no,759000
blockOfFlats,32.8,3,5,4.91,6,condominium,yes,yes,549000
,52,2,3,4.94,8,condominium,yes,no,739000
blockOfFlats,26.5,1,4,5.01,11,condominium,yes,no,520000
apartmentBuilding,26.36,3,4,8.54,5,condominium,yes,yes,539000
blockOfFlats,51.72,3,4,3.46,4,condominium,yes,yes,800000
blockOfFlats,25.5,4,4,6.88,25,condominium,no,no,489000
blockOfFlats,52.11,9,13,7.45,19,condominium,yes,yes,749000
apartmentBuilding,33,5,5,2.14,14,condominium,yes,yes,902000
blockOfFlats,68,,10,5.39,22,condominium,yes,yes,890000
blockOfFlats,43.6,2,7,4.01,0,condominium,yes,yes,670000
blockOfFlats,56.58,5,5,5.02,10,condominium,yes,yes,949000
blockOfFlats,42.1,4,7,3.66,13,condominium,yes,yes,699000
,54.5,1,10,4.87,5,condominium,yes,no,928000
blockOfFlats,47,1,7,2.32,32,condominium,yes,yes,760000
blockOfFlats,43.27,1,4,4.51,9,condominium,yes,no,649900
blockOfFlats,52,7,11,4.11,10,condominium,no,yes,960000
blockOfFlats,55.57,2,4,2.47,12,condominium,no,yes,1105843
blockOfFlats,46,4,4,6.6,23,condominium,no,no,540000
blockOfFlats,39.3,1,7,3.19,10,condominium,yes,yes,782000
apartmentBuilding,80.9,2,7,1.58,16,condominium,yes,yes,1615000
blockOfFlats,53,9,13,6.51,0,condominium,yes,no,699000
,42.57,1,2,4.12,1,condominium,no,no,650000
,51.9,2,2,0.88,194,condominium,yes,yes,915000
,28,4,10,6.29,14,condominium,yes,no,595000
blockOfFlats,34.16,,4,3.77,2,condominium,no,yes,598000
blockOfFlats,65.4,,4,4.85,10,condominium,yes,no,799999
blockOfFlats,48.5,8,10,4.56,10,cooperative,yes,yes,682500
blockOfFlats,45.5,,4,3.11,4,condominium,no,,735000
blockOfFlats,30.55,5,5,6.05,6,condominium,yes,yes,549000
blockOfFlats,55.1,3,4,6.78,17,condominium,yes,no,650000
blockOfFlats,61.1,2,2,5.02,10,condominium,yes,no,793000
blockOfFlats,47,9,10,4.75,4,condominium,yes,yes,585000
tenement,120.5,2,2,1.49,59,condominium,yes,no,1915000
apartmentBuilding,53.25,3,3,5.2,5,condominium,no,no,879000
blockOfFlats,44.12,1,4,5.42,12,condominium,yes,no,600000
blockOfFlats,73,4,7,6.87,17,condominium,yes,yes,880000
,36,,2,5.34,9,condominium,yes,no,565000
,49,2,7,3.58,18,condominium,yes,yes,799000
,70,3,3,1.63,37,condominium,yes,no,1519000
,74.85,3,3,5.2,5,condominium,yes,no,997000
blockOfFlats,49.1,2,5,4.35,19,condominium,yes,yes,799000
blockOfFlats,50,4,4,7.45,10,cooperative,yes,no,649000
,59.2,4,5,4.57,4,condominium,yes,yes,860000
blockOfFlats,35.16,4,5,6.15,2,condominium,yes,yes,650000
apartmentBuilding,46.76,14,14,4.07,9,condominium,yes,no,999999
blockOfFlats,52.91,2,3,1.88,10,condominium,no,no,799000
tenement,30,3,3,1.66,37,condominium,no,no,659000
tenement,61.72,4,4,2.25,25,condominium,no,,875000
,123.4,,1,3.98,2,condominium,no,no,1535000
tenement,58.3,4,5,0.96,90,condominium,yes,yes,1300000
blockOfFlats,58,4,4,1,177,condominium,no,,1330000
,75,3,4,4.9,3,condominium,yes,no,997000
blockOfFlats,69.1,3,10,5.76,16,cooperative,yes,yes,930000
blockOfFlats,35.62,2,3,4.53,15,condominium,no,no,619000
blockOfFlats,48,2,4,5.05,13,condominium,yes,no,649000
blockOfFlats,48.5,4,10,2.99,13,cooperative,yes,yes,790000
tenement,41,2,3,1.16,25,condominium,no,no,790000
tenement,36.01,3,3,0.77,196,condominium,no,no,899000
blockOfFlats,50,2,3,7.81,23,condominium,yes,no,760000
,66.63,3,4,7.44,12,condominium,yes,no,775000
blockOfFlats,52,8,10,4.43,13,condominium,yes,yes,707000
blockOfFlats,44.68,,4,5.89,0,condominium,yes,yes,749000
blockOfFlats,48.68,8,10,4.8,18,condominium,yes,yes,769000
apartmentBuilding,85.12,,1,3.92,5,condominium,yes,no,1699000
blockOfFlats,29.6,4,4,8.38,12,condominium,yes,yes,615000
blockOfFlats,49.4,9,10,3.42,9,cooperative,no,yes,695000
tenement,86.54,2,2,1.16,42,condominium,yes,no,1849000
blockOfFlats,34,,4,7.22,22,condominium,no,,588000
blockOfFlats,62,3,4,2.53,19,condominium,yes,no,990000
blockOfFlats,39.2,3,4,6.9,18,condominium,yes,no,649000
blockOfFlats,37,1,1,3.93,11,condominium,no,no,650000
blockOfFlats,39.3,2,3,6.04,0,condominium,yes,yes,648450
blockOfFlats,59.83,6,7,3.79,4,condominium,yes,no,889000
blockOfFlats,51,2,7,7.42,14,condominium,yes,yes,840000
blockOfFlats,53,4,4,4.35,19,condominium,yes,no,649000
apartmentBuilding,73.19,4,8,2.15,25,condominium,yes,yes,1790000
blockOfFlats,58,4,4,4.89,6,condominium,yes,no,790000
blockOfFlats,53,4,10,5.34,7,condominium,yes,yes,698000
blockOfFlats,36,4,4,3.87,17,condominium,yes,no,519000
blockOfFlats,49.7,7,7,5.79,1,condominium,yes,yes,800000
apartmentBuilding,55.57,2,4,2.03,20,condominium,yes,yes,1105843
blockOfFlats,54.5,3,3,6.81,15,condominium,yes,no,639000
apartmentBuilding,27.54,7,14,3.98,13,condominium,yes,yes,649000
blockOfFlats,38,9,10,4.03,1,cooperative,no,yes,612000
blockOfFlats,49.64,1,14,5.79,1,condominium,yes,no,750000
blockOfFlats,30.76,3,7,7.22,22,condominium,no,yes,479000
tenement,60.71,1,3,0.34,101,condominium,yes,no,1280000
blockOfFlats,52.11,9,13,7.08,22,cooperative,yes,yes,749000
,50,2,3,3.52,20,condominium,yes,no,770000
blockOfFlats,39,6,10,5.38,21,condominium,yes,yes,535000
blockOfFlats,37,1,4,4.11,11,condominium,no,no,650000
blockOfFlats,35,3,4,2.4,16,condominium,no,,649000
blockOfFlats,62,,3,5.3,13,condominium,yes,no,880000
apartmentBuilding,57,4,6,3.73,7,condominium,yes,yes,1120000
blockOfFlats,75,6,7,7.14,9,condominium,yes,yes,1111577
blockOfFlats,40,,2,9.38,7,condominium,yes,no,595000
apartmentBuilding,71,1,2,6.07,0,condominium,yes,no,1650000
blockOfFlats,41,,5,1.16,29,condominium,no,no,750000
tenement,102,1,4,1.65,45,condominium,yes,yes,2100000
apartmentBuilding,29.63,,2,3.95,7,condominium,yes,no,510000
blockOfFlats,36,4,4,7.41,27,cooperative,no,,525000
apartmentBuilding,43,2,6,2.17,11,condominium,yes,yes,867800
tenement,42.66,2,2,0.76,32,condominium,no,no,599000
blockOfFlats,49.6,1,4,3.86,21,condominium,yes,no,750000
blockOfFlats,54,3,4,7.34,28,condominium,no,no,899000
blockOfFlats,44.33,9,10,4.9,3,condominium,no,yes,599000
,83.87,4,9,7.1,14,condominium,yes,yes,922570
,77.73,9,9,7.12,13,condominium,yes,yes,893895
blockOfFlats,51.5,1,7,4.5,18,condominium,yes,yes,949000
apartmentBuilding,50,3,4,0.91,23,condominium,no,yes,910000
